"recipe_id","recipe","category","sub_category","quantity","quantity_unit","price","unit_price","unit_cost_raw","ingredients"
"1141","CHICKEN SAUCE (WIP) (70560)","SAUCE","","4,000.00","G","₦ 22,587.05","₦ 5.65","5.6467625","CHICKEN FILLET (68910) (qty:3060.0000 G 0.0000% | cost:) | DARK SOY SAUCE (69040) (qty:10.0000 G 0.0000% | cost:) | LIGHT SOY SAUCE (69295) (qty:10.0000 G 0.0000% | cost:) | TUMERIC (71064) (qty:10.0000 G 0.0000% | cost:) | RED DRIED CHILI (71062) (qty:3.0000 G 0.0000% | cost:) | CELERY (68890) (qty:30.0000 G 0.0000% | cost:) | CAYENNE PEPPER (68889) (qty:2.0000 G 0.0000% | cost:) | BLACK PEPPER POWDER (68816) (qty:5.0000 G 0.0000% | cost:) | WHITE PEPPER POWDER. (69818) (qty:5.0000 G 0.0000% | cost:) | CARROT (68886) (qty:120.0000 G 0.0000% | cost:) | IRISH POTATO (69248) (qty:200.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:250.0000 ML 0.0000% | cost:) | ONIONS (69388) (qty:80.0000 G 0.0000% | cost:) | GINGER (69147) (qty:10.0000 G 0.0000% | cost:) | GARLIC (69131) (qty:10.0000 G 0.0000% | cost:) | SALT (69547) (qty:16.0000 G 0.0000% | cost:) | KNOR MAGGI (BEEF & CHICKEN) (70610) (qty:25.0000 G 0.0000% | cost:) | ONION POWDER. (69387) (qty:10.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:80.0000 G 0.0000% | cost:) | PARMESSAN CHEESE (69410) (qty:10.0000 G 0.0000% | cost:) | SPRING ONIONS (69603) (qty:30.0000 G 0.0000% | cost:) | FRESH PEPPER (69121) (qty:70.0000 G 0.0000% | cost:)"
"1283","CHICKEN LOLLIPOP (69980)","Break fast","","1.00","PCS","₦ 1,853.60","₦ 1,853.60","1853.6","EGG (69070) (qty:1.0000 PCS 0.0000% | cost:) | PANKO BREAD CRUMBS (69401) (qty:50.0000 G 0.0000% | cost:) | TARTAR SAUCE (71034) (qty:70.0000 G 0.0000% | cost:) | VEGETABLE OIL FOR FRYING (71044) (qty:20.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:30.0000 G 0.0000% | cost:) | MARINATED CHICKEN WINGS (71031) (qty:300.0000 G 0.0000% | cost:)"
"1100","CHICKEN KEEBAB (WIP) (70487)","WORK-IN-PROGRESS","","2.00","PORTION","₦ 1,102.60","₦ 551.30","551.3","MARINATED CHICKEN FILLET (WIP) (70460) (qty:150.0000 G 0.0000% | cost:) | TOMATO KETCHUP (69671) (qty:20.0000 G 0.0000% | cost:) | MAYONNAISE (69328) (qty:20.0000 G 0.0000% | cost:) | DIJON MUSTARD (69051) (qty:10.0000 G 0.0000% | cost:)"
"995","CHICKEN FRIAND (69978)","PASTRY","","12.00","PCS","₦ 8,375.20","₦ 697.93","697.93333333333","SALT (69547) (qty:10.0000 G 0.0000% | cost:) | PUFF PASTRY MARGARINE (69502) (qty:375.0000 G 0.0000% | cost:) | CHICKEN SAUCE (WIP) (70560) (qty:960.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:500.0000 G 0.0000% | cost:)"
"1280","CHICKEN ALFREDO PIZZA (71024)","Breakfast & Brunch","","1.00","PORTION","₦ 5,782.00","₦ 5,782.00","5782","WHITE SAUCE (WIP) (70455) (qty:100.0000 G 0.0000% | cost:) | BELL PEPPER (68776) (qty:20.0000 G 0.0000% | cost:) | UNSALTED BUTTER (69753) (qty:10.0000 G 0.0000% | cost:) | ONIONS (69388) (qty:10.0000 G 0.0000% | cost:) | GARLIC (69131) (qty:5.0000 G 0.0000% | cost:) | MOZZARELLA CHEESE (69357) (qty:80.0000 G 0.0000% | cost:) | MARINATED CHICKEN FILLET (WIP) (70460) (qty:120.0000 G 0.0000% | cost:) | VEGETABLE OIL FOR FRYING (71044) (qty:20.0000 G 0.0000% | cost:) | PARMESSAN CHEESE (69410) (qty:20.0000 G 0.0000% | cost:) | PIZZA DOUGH 02 (WIP) (71025) (qty:280.0000 G 0.0000% | cost:)"
"1027","CHEESY BEEF PESTO MELT (69974)","Sandwich","","1.00","G","₦ 102,781.18","₦ 102,781.18","102781.18","SEASONED BEEF (70472) (qty:100.0000 G 0.0000% | cost:) | PESTO SAUCE (69457) (qty:40.0000 G 0.0000% | cost:) | CUCUMBER (69026) (qty:10.0000 G 0.0000% | cost:) | FRESH TOMATOES (69122) (qty:40.0000 G 0.0000% | cost:) | MOZZARELLA CHEESE (69357) (qty:50.0000 G 0.0000% | cost:) | LETTUCE (69294) (qty:10.0000 G 0.0000% | cost:) | UNSALTED BUTTER (69753) (qty:30.0000 G 0.0000% | cost:) | ONIONS (69388) (qty:20.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:20.0000 ML 0.0000% | cost:) | LOAF BREAD (WIP) (70454) (qty:4.0000 PCS 0.0000% | cost:)"
"990","CHEESE CROISSANT (69973)","CROISSANT","","36.00","PCS","₦ 41,447.50","₦ 1,151.32","1151.3194444444","GRANULATED SUGAR (68701) (qty:230.0000 G 0.0000% | cost:) | UNSALTED BUTTER (69753) (qty:900.0000 G 0.0000% | cost:) | YEAST (69833) (qty:42.0000 G 0.0000% | cost:) | SALT (69547) (qty:36.0000 G 0.0000% | cost:) | EMMENTAL CHEESE (69076) (qty:180.0000 G 0.0000% | cost:) | MOZZARELLA CHEESE (69357) (qty:180.0000 G 0.0000% | cost:) | POWDERED MILK (69494) (qty:60.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:1875.0000 G 0.0000% | cost:)"
"1071","CHARGRILLED PRAWNS (69972)","Side Attractions","","1.00","PCS","₦ 516.40","₦ 516.40","516.4","SEASONED PRWANS (WIP) (70467) (qty:1.0000 PORTION 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:20.0000 ML 0.0000% | cost:) | UNSALTED BUTTER (69753) (qty:20.0000 G 0.0000% | cost:)"
"861","CHAPMAN (69971)","Mellowtails","","1.00","PCS","₦ 2,541.10","₦ 2,541.10","2541.1","PLASTIC FANTA (69476) (qty:50.0000 ML 0.0000% | cost:) | PLASTIC SPRITE (69484) (qty:50.0000 ML 0.0000% | cost:) | PLASTIC TEEM SODA (69487) (qty:150.0000 ML 0.0000% | cost:) | GRENADINE (69183) (qty:50.0000 ML 0.0000% | cost:) | MIX TO DRINK BLACK CURRANT (69347) (qty:50.0000 G 0.0000% | cost:) | LEMON (69290) (qty:50.0000 G 0.0000% | cost:) | CUCUMBER (69026) (qty:10.0000 G 0.0000% | cost:)"
"1252","CHAI TEA LATTE MILKSHAKE (70801)","DRINK","","1.00","CU","₦ 6,632.58","₦ 6,632.58","6632.575","UHT MILK (69749) (qty:25.0000 G 0.0000% | cost:) | COFFEE GELATO (70019) (qty:100.0000 CU 0.0000% | cost:) | WHIPPING CREAM (69807) (qty:30.0000 G 0.0000% | cost:) | TWINNING CHAI TEA (69738) (qty:1.0000 TB 0.0000% | cost:) | ICE (70436) (qty:120.0000 G 0.0000% | cost:) | CINNAMON POWDER (68947) (qty:3.7500 G 0.0000% | cost:)"
